"Neighborhood","Time_Col","gi_star","p_sim","significance"
"Downtown",2019-06-30,-1.96006860727421,0.04,"***"
"Downtown",2019-07-31,-1.85434631392107,0.13,""
"Downtown",2019-08-31,-1.77473816103948,0.205,""
"Downtown",2019-09-30,-1.73719873024928,0.18,""
"Downtown",2019-10-31,-1.71417130605669,0.195,""
"Downtown",2019-11-30,-1.55001845337714,0.09,""
"Downtown",2019-12-31,-1.59624325286003,0.03,"***"
"Downtown",2020-01-31,-1.67366445295428,0.105,""
"Downtown",2020-02-29,-1.42745722813761,0.17,""
"Downtown",2020-03-31,-1.69953567270273,0.195,""
"Downtown",2020-04-30,-2.01822231567769,0.185,""
"Downtown",2020-05-31,-1.33801017344471,0.04,"***"
"Downtown",2020-06-30,-1.72997640571675,0.025,"***"
"Downtown",2020-07-31,-1.77062642310754,0.015,"***"
"Downtown",2020-08-31,-1.97652128797741,0.055,""
"Downtown",2020-09-30,-2.05441284306538,0.055,""
"Downtown",2020-10-31,-1.82010880823328,0.075,""
"Downtown",2020-11-30,-1.70093511351662,0.04,"***"
"Downtown",2020-12-31,-2.13385163845562,0.02,"***"
"Downtown",2021-01-31,-2.25954115868218,0.01,"***"
"Downtown",2021-02-28,-2.05312163133813,0.005,"***"
"Downtown",2021-03-31,-2.20537901791635,0.005,"***"
"Downtown",2021-04-30,-2.23712473113917,0.005,"***"
"Downtown",2021-05-31,-2.97715439571691,0.005,"***"
"Downtown",2021-06-30,-2.25336934750324,0.005,"***"
"Downtown",2021-07-31,-2.07078012294846,0.005,"***"
"Downtown",2021-08-31,-1.75703242012892,0.01,"***"
"Downtown",2021-09-30,-1.84468260313451,0.01,"***"
"Downtown",2021-10-31,-1.87899812541008,0.005,"***"
"Downtown",2021-11-30,-1.68015110745867,0.005,"***"
"Downtown",2021-12-31,-1.63901012388429,0.005,"***"
"Downtown",2022-01-31,-2.12218819671021,0.005,"***"
"Downtown",2022-02-28,-1.86166750232995,0.005,"***"
"Downtown",2022-03-31,-2.25926791880118,0.005,"***"
"Downtown",2022-04-30,-2.29687063512769,0.005,"***"
"Downtown",2022-05-31,-1.80683660581939,0.005,"***"
"Downtown",2022-06-30,-2.07339192619244,0.005,"***"
"Downtown",2022-07-31,-1.93016719336108,0.005,"***"
"Downtown",2022-08-31,-1.73213220222995,0.005,"***"
"Downtown",2022-09-30,-1.75517888752959,0.005,"***"
"Downtown",2022-10-31,-1.71921443362508,0.005,"***"
"Downtown",2022-11-30,-2.01426677204563,0.005,"***"
"Downtown",2022-12-31,-1.89641125697886,0.005,"***"
"Downtown",2023-01-31,-2.40786178236747,0.005,"***"
"Downtown",2023-02-28,-1.78689072129424,0.005,"***"
"Downtown",2023-03-31,-1.88085307184368,0.005,"***"
"Downtown",2023-04-30,-2.41755210559899,0.005,"***"
"Downtown",2023-05-31,-2.03704545652247,0.005,"***"
"Downtown",2023-06-30,-1.96906559841337,0.005,"***"
"Downtown",2023-07-31,-1.56943307809691,0.005,"***"
"Downtown",2023-08-31,-1.32604620623869,0.005,"***"
"Downtown",2023-09-30,-1.5141342264652,0.005,"***"
"Downtown",2023-10-31,-1.82074515488102,0.005,"***"
"Downtown",2023-11-30,-1.37215727401055,0.005,"***"
"Downtown",2023-12-31,-1.54487680167927,0.005,"***"
"Downtown",2024-01-31,-1.73020043591594,0.005,"***"
"Downtown",2024-02-29,-1.63069394082474,0.005,"***"
"Downtown",2024-03-31,-1.69858279174323,0.005,"***"
"Downtown",2024-04-30,-1.29881430577701,0.025,"***"
"Downtown",2024-05-31,-1.21591811230476,0.005,"***"
"Downtown",2024-06-30,-1.78143010570706,0.005,"***"
"Downtown",2024-07-31,-1.69598679557538,0.005,"***"
"Downtown",2024-08-31,-1.58751871152001,0.005,"***"
"Downtown",2024-09-30,-1.51013842930717,0.005,"***"
"Downtown",2024-10-31,-1.57423952078513,0.005,"***"
"Downtown",2024-11-30,-1.28822525117631,0.005,"***"
"Downtown",2024-12-31,-1.18155913737042,0.005,"***"
"Dunbar-Southlands",2010-01-31,1.4655601355593,0.24,""
"Dunbar-Southlands",2010-02-28,3.36332102341589,0.11,""
"Dunbar-Southlands",2010-03-31,2.76322275862095,0.08,""
"Dunbar-Southlands",2010-04-30,4.25579808020027,0.12,""
"Dunbar-Southlands",2010-05-31,2.48626686864161,0.18,""
"Dunbar-Southlands",2010-06-30,3.18160947064554,0.13,""
"Dunbar-Southlands",2010-07-31,2.86024814879126,0.09,""
"Dunbar-Southlands",2010-08-31,2.82148017428371,0.05,""
"Dunbar-Southlands",2010-09-30,3.62070320776895,0.05,""
"Dunbar-Southlands",2010-10-31,3.84474056405408,0.075,""
"Dunbar-Southlands",2010-11-30,5.31762498724855,0.035,"***"
"Dunbar-Southlands",2010-12-31,3.66828819940857,0.085,""
"Dunbar-Southlands",2011-01-31,4.41059895841311,0.075,""
"Dunbar-Southlands",2011-02-28,4.0518559468098,0.085,""
"Dunbar-Southlands",2011-03-31,4.49240859847961,0.075,""
"Dunbar-Southlands",2011-04-30,4.41673418897134,0.195,""
"Dunbar-Southlands",2011-05-31,3.1018332479741,0.165,""
"Dunbar-Southlands",2011-06-30,4.28679784614958,0.155,""
"Dunbar-Southlands",2011-07-31,2.02104086543861,0.15,""
"Dunbar-Southlands",2011-08-31,2.83684671868768,0.125,""
"Dunbar-Southlands",2011-09-30,3.43881733529715,0.155,""
"Dunbar-Southlands",2011-10-31,5.0086275804595,0.135,""
"Dunbar-Southlands",2011-11-30,4.0054526030458,0.22,""
"Dunbar-Southlands",2011-12-31,3.56144320797477,0.12,""
"Dunbar-Southlands",2012-01-31,3.05271289030328,0.105,""
"Dunbar-Southlands",2012-02-29,3.66222163842625,0.075,""
"Dunbar-Southlands",2012-03-31,3.18514341936397,0.1,""
"Dunbar-Southlands",2012-04-30,3.43708646729419,0.1,""
"Dunbar-Southlands",2012-05-31,4.01698685465951,0.145,""
"Dunbar-Southlands",2012-06-30,3.47354918254112,0.175,""
"Dunbar-Southlands",2012-07-31,3.69308818213349,0.195,""
"Dunbar-Southlands",2012-08-31,2.49271135491415,0.155,""
"Dunbar-Southlands",2012-09-30,4.30074259652922,0.17,""
"Dunbar-Southlands",2012-10-31,2.57965151273764,0.16,""
"Dunbar-Southlands",2012-11-30,2.25191246237586,0.125,""
"Dunbar-Southlands",2012-12-31,4.58670074389019,0.145,""
"Dunbar-Southlands",2013-01-31,4.32653244990845,0.205,""
"Dunbar-Southlands",2013-02-28,3.42388208079555,0.22,""
"Dunbar-Southlands",2013-03-31,2.65409444535422,0.105,""
"Dunbar-Southlands",2013-04-30,3.58517061158609,0.105,""
"Dunbar-Southlands",2013-05-31,3.35174602165359,0.105,""
"Dunbar-Southlands",2013-06-30,3.30627639104335,0.07,""
"Dunbar-Southlands",2013-07-31,3.08321300647568,0.095,""
"Dunbar-Southlands",2013-08-31,3.24693297546121,0.1,""
"Dunbar-Southlands",2013-09-30,4.23558995273042,0.095,""
"Dunbar-Southlands",2013-10-31,3.07798067629456,0.09,""
"Dunbar-Southlands",2013-11-30,3.13425039365161,0.05,""
"Dunbar-Southlands",2013-12-31,4.26495782048803,0.055,""
"Dunbar-Southlands",2014-01-31,3.44201835374106,0.145,""
"Dunbar-Southlands",2014-02-28,3.05407334845242,0.11,""
"Dunbar-Southlands",2014-03-31,4.14202641470006,0.09,""
"Dunbar-Southlands",2014-04-30,3.91181948188297,0.075,""
"Dunbar-Southlands",2014-05-31,3.54072595019637,0.09,""
"Dunbar-Southlands",2014-06-30,4.05510392681208,0.06,""
"Dunbar-Southlands",2014-07-31,3.08519856446965,0.05,""
"Dunbar-Southlands",2014-08-31,3.07096040190549,0.005,"***"
"Dunbar-Southlands",2014-09-30,4.44482471186224,0.01,"***"
"Dunbar-Southlands",2014-10-31,4.76813219938643,0.015,"***"
"Dunbar-Southlands",2014-11-30,4.32661037659244,0.02,"***"
"Dunbar-Southlands",2014-12-31,4.42962372615718,0.025,"***"
"Dunbar-Southlands",2015-01-31,3.81291231394521,0.025,"***"
"Dunbar-Southlands",2015-02-28,4.6775706747212,0.045,"***"
"Dunbar-Southlands",2015-03-31,4.67710511008905,0.04,"***"
"Dunbar-Southlands",2015-04-30,3.78293626927023,0.07,""
"Dunbar-Southlands",2015-05-31,3.78886186577036,0.065,""
"Dunbar-Southlands",2015-06-30,4.54246733744918,0.055,""
"Dunbar-Southlands",2015-07-31,3.30802234270432,0.035,"***"
"Dunbar-Southlands",2015-08-31,4.06448982932311,0.015,"***"
"Dunbar-Southlands",2015-09-30,3.68272530851967,0.02,"***"
"Dunbar-Southlands",2015-10-31,3.64798579541865,0.01,"***"
"Dunbar-Southlands",2015-11-30,3.3223531377718,0.005,"***"
"Dunbar-Southlands",2015-12-31,4.21620526251064,0.005,"***"
"Dunbar-Southlands",2016-01-31,3.1827257679173,0.005,"***"
"Dunbar-Southlands",2016-02-29,4.46364563124791,0.005,"***"
"Dunbar-Southlands",2016-03-31,3.77677015107197,0.015,"***"
"Dunbar-Southlands",2016-04-30,4.27788350500993,0.01,"***"
"Dunbar-Southlands",2016-05-31,3.61621273224862,0.015,"***"
"Dunbar-Southlands",2016-06-30,4.51702190873975,0.005,"***"
"Dunbar-Southlands",2016-07-31,4.38083729284652,0.005,"***"
"Dunbar-Southlands",2016-08-31,5.05028087224143,0.005,"***"
"Dunbar-Southlands",2016-09-30,4.61271743786511,0.015,"***"
"Dunbar-Southlands",2016-10-31,3.79815397148477,0.005,"***"
