"Neighborhood","Time_Col","gi_star","p_folded_sim"
"Arbutus Ridge",2011-03-01,-1.20307569948303,0.285
"Grandview-Woodland",2011-03-01,0.200265375376335,0.395
"Kensington-Cedar Cottage",2011-03-01,-0.11959273356619,0.43
"Killarney",2011-03-01,-0.787951162313022,0.385
"Kitsilano",2011-03-01,1.92020242995601,0.15
"Strathcona",2011-03-01,2.07627095730117,0.025
"Sunset",2011-03-01,-0.892203069288834,0.275
"West Point Grey",2011-03-01,-0.505316506265959,0.26
"Dunbar-Southlands",2011-03-01,-1.08885026315726,0.28
"Fairview",2011-03-01,2.20104379304965,0.115
"Mount Pleasant",2011-03-01,1.80195343496922,0.09
"Renfrew-Collingwood",2011-03-01,-0.305590128352039,0.415
"West End",2011-03-01,3.56765465176352,0.005
"Downtown",2011-04-01,4.48947713074957,0.025
"Hastings-Sunrise",2011-04-01,0.400708497100413,0.265
"Kerrisdale",2011-04-01,-1.68591454776141,0.045
"Marpole",2011-04-01,-1.15251396308881,0.21
"Oakridge",2011-04-01,-1.87341341022608,0.05
"Riley Park",2011-04-01,-0.630012140617289,0.49
"South Cambie",2011-04-01,-1.11936485248517,0.385
"Shaughnessy",2011-04-01,-1.41628059051697,0.12
"Victoria-Fraserview",2011-04-01,-0.614057739448028,0.34
"Arbutus Ridge",2011-04-01,-1.42382393971429,0.19
"Grandview-Woodland",2011-04-01,0.45246359748802,0.22
"Kensington-Cedar Cottage",2011-04-01,0.00650557638377261,0.495
"Killarney",2011-04-01,-0.83759453843269,0.365
"Kitsilano",2011-04-01,1.27671936531547,0.09
"Strathcona",2011-04-01,2.37372081139483,0.035
"Sunset",2011-04-01,-0.96828493374484,0.18
"West Point Grey",2011-04-01,-1.0884582492009,0.375
"Dunbar-Southlands",2011-04-01,-1.34482235920051,0.075
"Fairview",2011-04-01,1.88499075719825,0.08
"Mount Pleasant",2011-04-01,1.83131975203212,0.065
"Renfrew-Collingwood",2011-04-01,-0.10054746610845,0.435
"West End",2011-04-01,3.276268997721,0.04
"Downtown",2011-05-01,4.53489208108267,0.005
"Hastings-Sunrise",2011-05-01,-0.0508236174933278,0.24
"Kerrisdale",2011-05-01,-1.40057744480571,0.07
"Marpole",2011-05-01,-1.16894320234654,0.115
"Oakridge",2011-05-01,-1.71283940365291,0.06
"Riley Park",2011-05-01,-0.877925071000826,0.455
"South Cambie",2011-05-01,-0.940686343526224,0.47
"Shaughnessy",2011-05-01,-0.933586026510965,0.225
"Victoria-Fraserview",2011-05-01,-0.823926910875591,0.495
"Arbutus Ridge",2011-05-01,-0.98925884489872,0.395
"Grandview-Woodland",2011-05-01,0.0478232867009048,0.37
"Kensington-Cedar Cottage",2011-05-01,-0.48641461090052,0.495
"Killarney",2011-05-01,-0.6689699359387,0.41
"Kitsilano",2011-05-01,1.6919307203588,0.09
"Strathcona",2011-05-01,2.16944241528662,0.035
"Sunset",2011-05-01,-1.34309105714578,0.065
"West Point Grey",2011-05-01,-0.998721626059428,0.48
"Dunbar-Southlands",2011-05-01,-1.15459077892185,0.18
"Fairview",2011-05-01,2.16844376157178,0.06
"Mount Pleasant",2011-05-01,1.62385742875695,0.14
"Renfrew-Collingwood",2011-05-01,-0.297870757165637,0.245
"West End",2011-05-01,3.51118591711047,0.005
"Downtown",2011-06-01,4.54086862953339,0.015
"Hastings-Sunrise",2011-06-01,-0.402576563577391,0.48
"Kerrisdale",2011-06-01,-1.5125865034358,0.05
"Marpole",2011-06-01,-0.801697534334374,0.08
"Oakridge",2011-06-01,-1.77312073833013,0.035
"Riley Park",2011-06-01,-0.696905689173897,0.43
"South Cambie",2011-06-01,-0.879880740950324,0.485
"Shaughnessy",2011-06-01,-1.39230618247485,0.18
"Victoria-Fraserview",2011-06-01,-0.515377762743577,0.44
"Arbutus Ridge",2011-06-01,-1.40956631009048,0.175
"Grandview-Woodland",2011-06-01,-0.229237427592569,0.395
"Kensington-Cedar Cottage",2011-06-01,-0.530165667328239,0.41
"Killarney",2011-06-01,-0.424271853326709,0.33
"Kitsilano",2011-06-01,1.46237363238039,0.13
"Strathcona",2011-06-01,1.9351319794278,0.03
"Sunset",2011-06-01,-0.965381519664578,0.265
"West Point Grey",2011-06-01,-0.940531851843722,0.5
"Dunbar-Southlands",2011-06-01,-1.21284482967416,0.075
"Fairview",2011-06-01,2.25614945096351,0.05
"Mount Pleasant",2011-06-01,1.70536622990583,0.195
"Renfrew-Collingwood",2011-06-01,-0.425958908008887,0.445
"West End",2011-06-01,3.47459858091902,0.01
"Downtown",2011-07-01,4.3567341709332,0.02
"Hastings-Sunrise",2011-07-01,-0.081788532222139,0.38
"Kerrisdale",2011-07-01,-1.29181921848038,0.08
"Marpole",2011-07-01,-0.98802934910686,0.25
"Oakridge",2011-07-01,-1.66322405755859,0.05
"Riley Park",2011-07-01,-0.96527324916471,0.34
"South Cambie",2011-07-01,-1.23273393198024,0.435
"Shaughnessy",2011-07-01,-1.11401686406832,0.205
"Victoria-Fraserview",2011-07-01,-0.905546447295722,0.445
"Arbutus Ridge",2011-07-01,-0.992056467694941,0.455
"Grandview-Woodland",2011-07-01,-0.374127750557662,0.36
"Kensington-Cedar Cottage",2011-07-01,-0.642675478820513,0.415
"Killarney",2011-07-01,-1.00152629901945,0.335
"Kitsilano",2011-07-01,1.98807054295467,0.09
"Strathcona",2011-07-01,1.33667535507569,0.035
"Sunset",2011-07-01,-1.0909292443799,0.105
"West Point Grey",2011-07-01,-0.730387702523252,0.37
"Dunbar-Southlands",2011-07-01,-0.930263595981213,0.255
"Fairview",2011-07-01,2.16718516571383,0.07
"Mount Pleasant",2011-07-01,0.846214822865014,0.205
"Renfrew-Collingwood",2011-07-01,-0.5471477913561,0.425
"West End",2011-07-01,4.39687985267192,0.015
"Downtown",2011-08-01,4.26170436876831,0.015
"Hastings-Sunrise",2011-08-01,-0.188242250721769,0.29
"Kerrisdale",2011-08-01,-1.76055451045906,0.035
"Marpole",2011-08-01,-1.45661992532675,0.025
"Oakridge",2011-08-01,-1.94246543664408,0.05
"Riley Park",2011-08-01,-0.557929324793098,0.465
"South Cambie",2011-08-01,-1.00433478818165,0.35
"Shaughnessy",2011-08-01,-1.4365772419293,0.175
"Victoria-Fraserview",2011-08-01,-0.491518086059369,0.37
"Arbutus Ridge",2011-08-01,-1.0954578620153,0.385
"Grandview-Woodland",2011-08-01,-0.534656641484793,0.405
"Kensington-Cedar Cottage",2011-08-01,-0.25754528586128,0.365
"Killarney",2011-08-01,-0.671708798870139,0.42
"Kitsilano",2011-08-01,1.96977739324248,0.085
"Strathcona",2011-08-01,1.20238869372466,0.045
"Sunset",2011-08-01,-0.990585338685698,0.31
"West Point Grey",2011-08-01,-0.5388764970711,0.24
"Dunbar-Southlands",2011-08-01,-0.793487974037332,0.18
"Fairview",2011-08-01,2.23028296974584,0.07
"Mount Pleasant",2011-08-01,1.20128594255755,0.145
"Renfrew-Collingwood",2011-08-01,-0.146409642655983,0.415
"West End",2011-08-01,4.19759380484004,0.025
"Downtown",2011-09-01,4.77245614684146,0.015
"Hastings-Sunrise",2011-09-01,0.142333321528135,0.355
"Kerrisdale",2011-09-01,-1.93800992009483,0.04
"Marpole",2011-09-01,-1.73646652264324,0.055
"Oakridge",2011-09-01,-2.49644912322053,0.025
"Riley Park",2011-09-01,-1.09116319293083,0.29
"South Cambie",2011-09-01,-1.45991055654721,0.285
"Shaughnessy",2011-09-01,-1.63674478939624,0.14
"Victoria-Fraserview",2011-09-01,-1.01787400414847,0.34
"Arbutus Ridge",2011-09-01,-1.14287607483337,0.42
"Grandview-Woodland",2011-09-01,0.625010353424499,0.275
"Kensington-Cedar Cottage",2011-09-01,-0.34777656433442,0.48
"Killarney",2011-09-01,-1.03099970227411,0.32
"Kitsilano",2011-09-01,1.98151763399844,0.065
"Strathcona",2011-09-01,2.51455534699705,0.02
"Sunset",2011-09-01,-1.57943539743411,0.075
"West Point Grey",2011-09-01,-0.329919904727715,0.29
"Dunbar-Southlands",2011-09-01,-0.696440108101585,0.29
"Fairview",2011-09-01,2.07857155892898,0.045
"Mount Pleasant",2011-09-01,1.62565324258648,0.09
"Renfrew-Collingwood",2011-09-01,-0.571438037416686,0.395
